key_1,AC No,PS No,Point,Longitude,Latitide,key
47_58 ,47,58,58 - Jahar Nagar Colony S.B.School,91.88565156,23.91749695,47_58 
47_59 ,47,59,59 - Satyaram Chaudhuri Para Aabasik H.S. School,91.8964663,23.91076719,47_59 
47_6 ,47,6,6 - Nalichara Uccha  Vidyalaya,91.81513198,23.95488378,47_6 
47_60 ,47,60,60 - Fanindra Reang Para Uccha Buniyadi Vidyalaya,91.89911118,23.91744717,47_60 
47_62 ,47,62,62 - Sikaribari S.B. School,91.94641022,23.89205852,47_62 
47_64 ,47,64,64 - Purbaroy Para Nimna Buniyadi Vidyalaya,91.87406815,23.89793008,47_64 
47_65 ,47,65,65 - Baghai Chara Nimna Buniyadi Vidyalaya,91.89106022,23.85523326,47_65 
47_67 ,47,67,67 - Dhansing Royaja Para S.B. School,91.89248635,23.83035854,47_67 
47_68 ,47,68,68 - Khagendra Roaja J.B. School,91.8417659,23.94845299,47_68 
47_7 ,47,7,7 - Nalichara Bhumihin Colony Nimna Buniyadi Vidyalaya,91.81018399,23.94068939,47_7 
47_8 ,47,8,8 - Kulai Ganj Chaudhuri Para Uccha Buniyadi Vidyalaya,91.83618687,23.96132365,47_8 
47_9 ,47,9,9 - Kulai Dwadash Shreni Vidyalaya (Pashchimangsha),91.82756597,23.94858379,47_9 
48_1 ,48,1,1 - Kukichara Anganwadi Kendra,91.933067,24.076341,48_1 
48_10 ,48,10,10 - Muni Vodro para J.B. School,91.926727,24.033199,48_10 
48_11 ,48,11,11 - Wakhirai Debbarma Para S.B School,91.936355,24.027623,48_11 
48_12 ,48,12,12 - Karthik Para Anganadi Kendra,91.972938,24.023304,48_12 
48_13 ,48,13,13 - Gunadhar Master Para J.B.School,91.96068,24.021886,48_13 
48_14 ,48,14,14 - Hakutuisa Dwadash Shreni Vidyalaya,91.975761,24.011005,48_14 
48_15 ,48,15,15 - Basana Royaja Para Samajashiksha Kendra,91.979228,24.009163,48_15 
48_16 ,48,16,16 - Jagannath Bari J.B. School,91.971389,24.006424,48_16 
48_17 ,48,17,17 - Madhav Master Para S.B. School,91.946747,24.009484,48_17 
48_18 ,48,18,18 - Taibaklai S.B. School,91.955397,24.004833,48_18 
48_19 ,48,19,19 - Jamir Chara Uccha Buniyadi Vidyalaya,91.969162,23.987977,48_19 
48_2 ,48,2,2 - Kukichara S.B. School,91.929677,24.077301,48_2 
48_20 ,48,20,20 - Chapaliya Roaja Para Nimna Buniyadi Vidyalaya,91.951226,23.978324,48_20 
48_21 ,48,21,21 - Boishnob Choron  J.B. School,91.944458,23.986211,48_21 
48_23 ,48,23,23 - Upendra Roaja Para Uccha Buniyadi Vidyalaya,91.960555,23.955782,48_23 
48_25 ,48,25,25 - Baidyamoni Roaja Para Nimna Buniyadi Vidyalaya,91.969478,23.973763,48_25 
48_26 ,48,26,26 - Hospital Para J.B School,91.994118,23.992774,48_26 
48_27 ,48,27,27 - Lambabil High School,91.998334,23.988995,48_27 
48_28 ,48,28,28 - Manughat Gao Panchayet Office,91.991198,23.998584,48_28 
48_29 ,48,29,29 - A.O.C. Para J.B. School Manu,91.992121,24.003414,48_29 
48_3 ,48,3,3 - Kathalachhada T.M.C  H.S.  School  (S/W),91.947625,24.076014,48_3 
48_30 ,48,30,30 - Manughat Dwadash Shreni Vidyalaya(Purbangsha),91.996152,23.999213,48_30 
48_31 ,48,31,31 - Bichitra Das para AWC,91.995099,24.004676,48_31 
48_32 ,48,32,32 - Manughat Dwadash Shreni Vidyalaya(Uttarangsha),91.996152,23.999213,48_32 
48_33 ,48,33,33 - Gakulnagar Colony Senior Basic School,91.94230527,23.97567527,48_33 
48_34 ,48,34,34 - Chichingcherra S.B. School,92.048854,23.981122,48_34 
48_35 ,48,35,35 - Twikarma Twisha High School,92.021009,24.007569,48_35 
48_36 ,48,36,36 - Shibbari Anganwadi Kendra,92.029377,24.011748,48_36 
48_37 ,48,37,37 - Tui Karma Tuisa H.S. School,92.008928,24.023257,48_37 
48_38 ,48,38,38 - West Masli Swadeshi Para J.B. School,92.00278,24.02938,48_38 
48_39 ,48,39,39 - West Machhali Senior Basic School,91.968954,24.05266,48_39 
48_4 ,48,4,4 - Kathalachhada T.M.C  H.S.  School  (N/W),91.947698,24.076331,48_4 
48_40 ,48,40,40 - West Machhli Marak Para Junior Basic School,92.000559,24.019366,48_40 
48_41 ,48,41,41 - Jumia  Colony S.B. School,92.016243,24.039968,48_41 
48_42 ,48,42,42 - Raman Debnath Para Junior Basic School,92.000952,24.037694,48_42 
